"term","estimate","std.error","statistic","p.value"
"(Intercept)",53.9555608763402,0.314994938715393,171.290247063591,0
"gdpPercap",0.000764882648802898,2.57903943282344e-05,29.6576562214689,3.5657242411331e-156
